Name,Country,Visited,Reviewed,Age,Experience Level,Program,Rating,Title,Review
Agnieszka,BE,Visited: August 2021,08-Sep-21,20-35,2-5 safaris,Sandland Tours and Safaris,1,The agency is FRAUD!,"Me and my friend, we ended up with the Abraham Shaidi¢®?s company (Sandland) as a third part booking. We booked a 5 days safari trip with the Three Peaks Safari agency which sub-contracted our trip to Abraham¢®?s company without asking us.

Our experience was terrible. We have never seen the migration in the North part of the Serengeti neither the Ngorongoro crater as it was in our plan.
Our guide, Albert Lema drove like crazy, broke the safari rules several times by disturbing animals¢®? peace and put us in danger. We did not feel safe in the car and in the campsites (e.g. driving 90km/h, texting us in the middle of night when we slept, putting us between lion cubs and making noises etc).

On the 3rd/ 4th day, Albert and his boss became very rude to us, blaming us that we cost a lot. Albert also yelled at me in the front of clients, he left the camp at 8pm with our suitcases and without debriefing us. Next day at 08:30am, he came back to the camp without saying any word. He gave us his phone and asked us to speak with his ¢®¡Ædirector¢®¡¾. Albert and Abraham asked us for EXTRA MONEY in order to go to the Ngorongoro crater or we would come back to Arusha. I called the Three Peaks Safari agency and explained the situation. The agency called the police¢®?.at the end, we have never seen the crater...

Moreover, the chef, Hilda pretended to be a 26 years old single Maasai mother from Arusha (while she was from the village Mto Wa Mbu as well as Albert) was also a very rude, aggressive and laud person.

The owner is crook and the safari guide with a chef ? liars! PLEASE AVOID IT"
Ahmad,CA,Visited: July 2017,22-Aug-17,20-35,first safari,Wildebeest Safaris LTD,1,Look For Somewhere Else !!!!!!!!!,"When my flight arrived at 10:30am driver wasn't there I waited 2 hours for him to arrive. And the driver wasn't my actual tour guide he is a tour guide for another group. His excuse for arriving late that his car was damaged, but in the end I found out he was lying and my actual tour guide made a deal with this other tour guide (Who will pick another group that I don't know) to go to the airport to pick me up because I was solo. And because of that he arrived late cause the other group's flight arrival is at 1:00pm. My trip plan is private tour which means driver must to pick me up alone without other group!!!!!!!!!!! And to top all that the car was in super bad condition. To sum up this company is a so unorganized, very old vehicles, don't care about customer satisfaction, and do whatever they want to do without even asking beforehand if I agree or not. Please avoid so that you will not end up with similar experience or even worse."
Ahmet,US,Visited: June 2015,31-Jul-15,20-35,first safari,Migada Adventures Ltd,1,Just Awful,"We booked a 7-day Kenya+Tanzania safari with a Kenyan operator and the 3-day Serengeti-Ngorongro portion was subcontracted to Migada. Unlike the Kenya portion, Tanzania was terrible in every way and our vacation was half-ruined. 

The car had multiple problems and was absolutely unsafe. Breaks were bad and locked the tires on gravel roads so downshifting was the way to slow down. Parking break didn't work so it was always exciting to see the car run away until driver used rocks to stop it. Engine didn't start if turned off when it's warm, so engine ran the whole day even when parked next to the animals. We had to ask other drivers for a bump when driver stalled the engine. The car didn't have radio so game viewing was random. A policeman warned us about the wheels being not fit to drive. But more on the car later. 

The driver got lost multiple times, starting day 1 from Isebania to the lodge in Serengeti. When it was getting dark he panicked and started driving movie stunt style on horrible roads, doing a pretty high jump where tires detached from the ground for about 4 seconds that felt like hours. No empathy with passengers' comfort for restroom or lunch breaks, we had lunch inside the car in dust while driving. The company's card was out of money while exiting Serengeti so we had to wait about an hr just to exit a park. Nothing happened smoothly..

The car broke down a few minutes after our descent into Ngorongro, and we found out the radiator had a leak that the driver knew about. His calls to the office were unanswered but another safari driver was kind enough to stop and take us into his car, and tow the broken car until the nearest water hole. We helped fill the radiator with muddy water and plugged the hole with elephant dung and the car surprisingly made it to Arusha the next morning on mud, dung and prayers. They gave us a new car from Arusha to Kenya border and then came our best moment in Tanzania: getting exit stamps and seeing our Kenyan driver on the other side. 

Thinking back about the whole thing, we should've rejected getting into that car after the first day."
Ahron,KE,Visited: December 2016,11-Jan-17,20-35,first safari,Wanyama African Safari,1,Shabani's scam,"We booked 4 days safari with Shabani's company. It was a disaster!!
1. The cars were completely full. 9 people including the chef instead of 7 as promised. When we asked Abdul (our guide) to solve this issue he gave us  unacceptable solutions (leave the chefs and that we will cock for our self). Also the cars were fulled with equipment so there was no place for the legs.
2. Abdul the guide was unprofessional. After we talked to him about some of the problems he decided not to talk to us and didn't explain anything during the game drives, even not the names of the animals. He was just a taxi driver that took us from one location to another.
3. Time in the Safari weren't as promised. In the first day of the Sarangeti we had only two hours of game drive. 
4. A lot of small annoying issuesthere were not enough tents in the first night for everyone, in the second day the chefs refused to wake up early in the morning to make us breakfast because it was too ""early"" for them.  

When we came to Abdul ,asking for solutions for our problems he didn't show any intention to figure out them out and he even blamed us one time that the reason we got late to the Sarangeti (16:30) is because we asked him to stop to photograph giraffes on the way.

When we got back to Arusha we went to Shabanis office to talk with him about everything. During the talk he blamed us for being ""hard customers"" and didn't even say he was sorry about anything. Eventually he started to talk in aggressivly when we said we will write a bad recommendations.  When we got out from his office (without any compensation) he even tried to hit one of the girls and we had to stop him. When we walked out to the street he keep followed us, this was really scary and unpleasant.

I think Sahabani is a dangerous man and even that his prices is low it doesn't worth the bad feeling."
Ailsa,US,Visited: June 2016,01-Aug-16,20-35,over 5 safaris,Seven Wonders Safaris,1,Do not book with this company,"Do not book a tour with Seven Wonders in Arusha. In all of my travels, it was the worst experience I¢®?ve ever had. This is not just a post about a bad tour company, this is a safety warning to all travellers ? please do not use this company. 

My boyfriend and I booked a safari to the Serengeti and the Ngorongoro Crater for 3 days and 2 nights. Our cook was great, but our guide was awful. We shared the safari truck with two lovely French ladies, and we were all told that the guide spoke both French and English ? but he didn¢®?t speak either (other than a few basic phrases), which made communication very difficult. 

He couldn¢®?t tell time, and kept telling us to get up for breakfast at 2:00 am (which we actually did the first morning!). He was very disorganized and always late, which decreased the amount of time we got to spend each day in the national parks. We had to set-up and take down his tent each morning to try and speed up our departure time, as he didn¢®?t know how to. He didn¢®?t spot one single animal our entire trip! And when we spotted them he would drive past more than half of them. And on our second day when I spotted a leopard, and we requested to park for a better view, he kept driving and said that we had to go home for lunch, yet proceeded to stop for antelope!!! We¢®?re not usually picky with driving, but he was honestly very unsafe and came close to hitting walls, trees and animals on the road on multiple occasions. He was always on his phone in the truck, and when he wasn¢®?t talking on it he was taking creepy pictures of the young French girl (trying to disguise them as selfies). He made the experience so bad that it brought the French ladies in our truck to tears - they called Seven Wonders several times to complain and to try and get a replacement guide, but the manager of Seven Wonders yelled at them over the phone and called them ¢®¡Æliars¢®¡¾ and refused to compensate them in any way. 

As if this wasn¢®?t bad enough, on our last day we were scheduled to visit the Ngorongoro Crater. Our guide had forgotten to pay our tickets for entry the night before, so we were late entering and late leaving the park. Our guide on exiting the inner gate of the crater told us that we had to pay a $70 USD fee per person for exceeding our permit time. We explained to the ranger that it was our guide¢®?s fault because we arrived late, and the guide lied and said that we had threatened to fight him in the truck (3 small girls and 1 guy vs. 2 grown men!), and that we had made him stay late. When we tried to exit the last gate of the park in a taxi, we were detained because the fee had not been paid. The head park ranger agreed that Seven Wonders should pay the fee, and he arranged over the phone with the manager the he should mobile transfer the money. He never did, and as a result we were kept at the gate until after dark before being allowed to finally leave at 8:30 pm (after waiting for 5 ¡§? hours).  

The next day, we were approached at our hotel in Arusha by the manager of Seven Wonders, along with a group of 5 other men. He told us we needed to pay him the $140 USD. We tried to calmly reason with him, but he was simply aggressive and rude, and accused us of lying. They wouldn¢®?t leave, and harassed us until we asked for the police to be called. The police warned us that these men were dangerous, and that they believed that if we didn¢®?t give them what they wanted they were going to hurt us. The police were unable to charge them unless they did first harm us, so we filed a police report and had to be driven to a hotel outside of town where we were safe. 

Please be warned ? these are bad people. Do yourself a favour, there are many other tour companies you can choose from. 

 


"
AJ,US,Visited: February 2018,07-Apr-18,20-35,first safari,Orongai Africa Safari,1,"Poor management, did not follow itinerary, rude, Great driver","I recommend looking ELSEWHERE before booking with Orongai Africa. I am not one to write bad reviews but my poor experience with them warrants such review. 

I priced out many safaris prior to booking and specifically requested going to Lake Manyara weeks before booking with Orongai. They agreed to this and I paid a deposit down for a 5 day, 4 night safari. One week after paying for half of the trip, they sent an email with what looked like the same itinerary as we agreed upon. What I did not realize however was that they deleted Lake Manyara (despite our initial request and agreement) from the last day without discussing this with me at all. After arriving in Tanzania from Kenya (which I will give them 1 star of credit for because they were very accommodating to picking me and my significant other up from the border which was very helpful), we had to pay for the second half of the trip. We attempted to pay via paypal with a credit card which ""did not go through"", so I sent a second payment through paypal. Essentially, we paid 1.5x what was originally agreed upon. I have now been back for 4 weeks to the USA and despite emailing multiple times, we have yet to receive a refund for the extra half trip we paid for. I hope we get our money back soon.

Not only is their management rude sending snarky emails back and accusing us of not tipping our amazing guide (for which I take a lot of offense to because we tipped him extra for how great his knowledge and sense of humor was), but they are UNTRUSTWORTHY for changing itineraries AFTER money was already paid. 

I highly recommend looking elsewhere before booking with this company. Save yourself the headache of being accused of being a bad person inappropriately.

On a side note, if you do come across a safari guide named Issac. He is really great and gave us a good experience on 4 out of the 5 days of the safari that the company took us on. The 5th day, they stated we had ""used all of our money up"" and could not go on the last day of the safari before the airport. Such a disaster."
Akira,TH,Visited: July 2019,11-Aug-19,20-35,first safari,Smile with us tours in Africa,2,First time safari with unsatisfy opertator,"We choosed smile with us tour for our tour operator in Tanzania. We felt that Jacob was very active on the communication for planning of the tour and accommodation. On the first day he picked us up late 1 hour and said that our guide will be changed without informing us the reason. We knew later that our guide has just been contacted that morning! Since there has been a change in guide and car and also the poor operation of smile with us tour on the reservation and permit to go to each national park, we spent more than 1.30 hour at each gates (i.e. serengeti and ngorongoro). The worst is that we didn't do the game drive as we spent too much time dealing with all these problems which should not exist if the tour operator is professional enough. Our iternerary was ruined. Our guide tried to manage all problems and planned new itenerary. We felt that this tour operator is very unprofessional."
Al,US,Visited: July 2019,16-Aug-19,20-35,2-5 safaris,Angose Travel Limited,1,Dishonest Company,"I'm going to keep it brief, but in general,  Ibrahim is dishonest with his customers and unfair to his staff.  People considering booking with him should understand the risk of booking the cheapest option.  

Three major issues:

1-  When we were leaving Serengeti to go to Ngorogoro, we were told at the gate that Angose had not paid our park fees.  Ibrahim's solution (by telephone) was for one of us to put the fees (about $700) on our personal credit card and then be reimbursed in cash when we got back.  No one was interested in doing this because we felt it seemed like a scam.  There's an online portal for safari operators to pay these fees online if they're not able to do it the usual way (pay in cash at the local bank) so it shouldn't have been an issue.  We waited at the gate for several hours for Ibrahim to come up with a better solution.  Eventually we went to park rangers ourselves and explained the situation and they told us that all we had to do was fill out a form and we everything would be fine as long as they paid the following day before we left the park.  If the solution was that simple, and this has happened before (it's noted in another review on TA), then why did we have to lose an entire afternoon game drive because of it?

After my safari, I met another backpacker who used this company and the same thing happened to them.  

2-  Unbeknownst to anyone, I was booked for a 5 day safari and everyone else was booked for a 6 day safari.   No one told us this and we didn't figure it out until the fourth night.  On the fifth night, Ibrahim called me and told me, ""Ok, your safari is over.  You can either pay $150 more and do the last day with the group or take the public bus back to Arusha (2 hours at night)."" I told him there was no way I was going to do either of those things.  We hadn't gone to Manyara yet which was on my itinerary, I had spent all the money I had budgeted for this portion of my trip, and the bus is not especially safe for tourists (especially at night).  He yelled at me and threatened me over the phone.  It wasn't until I mentioned the police that he backed down.

3-  The way they treat the staff is much worse than other safari companies I have worked with.  There's no tent or meals for the staff.  They sleep in the car and eat leftovers.  Our guide told us that they're paid almost nothing and rely on tips to make a living.  He also said that they weren't given enough money for the supplies so he had to pay for our bottled water out of his own pocket.

In conclusion, I think there would be more negative reviews but people either want to put the situation behind them or they're embarrassed to admit they've been scammed.
"
Aldug,DE,Visited: September 2015,27-Sep-15,20-35,2-5 safaris,Crocodile Racers Adventures,1,NEVER CHOOSE CROCODILE RACERS,"Back from a ""3 days/2 nights"" in the Mara, we were wondering if it was normal that:

- when we ask us be ready at 7 am to be picked up by our driver in Nairobi, we leave Nairobi at 10am, after 3 different places waiting for something we don't want to explain to us,

- when we are supposed to be maximum 8 in our van, we spend the 3 days at 9 pax including a 6-month baby crying, the other people paying 360USD pp (70 less than us) for exactly the same prestation + water included in their package, not in ours (they also told us they were very angry because supposed to be 6 Max in the van for this price...)?

- when we are supposed to arrive ""on time for lunch"" at Maasai Mara, have a rest and make our 1st game drive around 4pm, we in fact arrived at 4pm at the camp (after an awful lunch in a self service on the road) and entered Maasai Mara at 5.30pm (30 minutes game drive!)

- when it is question of coming back to Nairobi, then, our guide proved us he can be..."
Aleksandra,RS,Visited: August 2019,28-Sep-19,50-65,over 5 safaris,Ocean African Tours,1,"Totally unreliable, too expensive, hire irresponsible drivers, avoid them or you risk too much","We have travelled a lot all over the world and have never had such a bad experience with a tour operator. We only bother to write this review in order to warn people of this company. First of all, they overcharge. Our mistake was that we wanted to prepare everything before our arrival to Mauritius and we chose Ocean African Tours because it seemed to us they had everything we needed. It turned out that hotels have much better deals than the one we arranged with Ocean African Tours. Mia, their driver picked us up at the airport and in the following days took us on two tours over the island. His knowledge of the history of the island and its sights is miserable. Obviously he made no effort to learn anything although he acts as a guide. The tours and the price were arranged through the owner of the company. However, Mia did not take us to all the places we wanted to visit with different excuses. Although we originally wanted to go on several tours with them we chose not to, as after 2 tours we realized their service was not to our expectations. Two days before our departure we arranged with Mia to pick us up at 6 am on Saturday and take us to the airport. He did not show up. When we phoned the owner he told us he would be there soon, he was on the way, he lied. So at the time we were supposed to be at the airport, we were still unfortunately, in front of our hotel in Mont Choisy, on the other end of the island. Both Mia and the owner live very close to our hotel but nobody came. After 45 minutes of waiting and several phone calls and promises from the owner we stopped some driver in front of our hotel, explained the situation and he phoned his friend, a taxi driver to take us to the airport. Thanks to this man we arrived to the airport and had to rush to the check in, ask the people to let us go first etc. All in all, we almost missed our flight. You can imagine how stressful it was, having in mind that we have to get to Paris and catch the connecting flight and be home so that we could start work on Monday morning. As a result our luggage was delayed by 5 days. Both the owner and Mia promised compensation for the inconvenience but paid us nothing up to date. As both of them are not men of their word we had to write this review."
Alessandro,US,Visited: August 2015,16-Sep-15,20-35,over 5 safaris,Hog Safaris,1,Bait and switch,"We are writing to report on a recent safari we took in Uganda, Rwanda and the Democratic Republic of Congo at the end of August/beginning of September 2015. We are two very fit American males in our late 20s/mid 30s who were looking for an adventurous vacation in Africa. ?We have both travelled to Africa repeatedly and extensively in the past including South Africa, Namibia, Kenya, Tanzania Male 1 has hiked Mount Kilimanjaro, and Male 2 is an architectural design consultant for hospitality projects in Nairobi and Tsavo region of Kenya.

After researching several tour companies including Instinct Safaris, Boda Boda Travel, Africa Geographic, and Destination Jungle, we decided to go with Hog Safaris Ltd, Plot 31 Kanjokya Street P.O. Box 21588 Kampala, Uganda. 

When building our itinerary, we dealt exclusively with the owner, Ben Katumba. During our initial conversations we outlined three activities that we were keen on doing and asked for recommendations to help round out the trip. The activities were gorilla trekking in Uganda, hiking Mount Sabyinyo in Uganda, and Mount Nyiragonga in DR Congo. Ben was able to work with us to customize the trip based on 3 initially proposed itineraries, not all of which included the 3 activities. In mid-June we decided on an itinerary for 8 nights/9 days since it was inclusive of all 3 requested activities. Other activity options were not well explained by Ben and as anyone researching a trip in the region knows, literature is somewhat limited -- so we were forced into being reliant on Ben¢®?s expertise.

On June 24, we transferred the 50% deposit ($3000 USD) to Hog Safaris, which was not confirmed into their account until 10 July. In addition, with the transfer of money and the agreement to pursue a trip with Hog Safaris we did a few things: 
1.	Informed Ben that that we eat a vegetarian/vegan diet high in greens, no bread, but can eat fish; and that Male 1 is lactose intolerant, so no dairy or cheese
2.	Requested a list of hotels so we could review them on TripAdvisor or their websites to make sure they were suitable for us. ?Our initial budget range we gave them for the hotels was between $200-$300 per person, per night, exclusive of full board which is offered as part of the safari package
3.	Information necessary for the trip (i.e. packing, visas, travel time, etc.) 

Over the course of the next month we began to send numerous emails requesting for a more detailed itinerary of what was sent to us on 24 June (see below ¢®¡ÆItinerary¢®¡¾), including exactly what time we would be picked up for all of the activities, the driving distances between locations, and how the meals would be covered for the entire trip. We only received emails when there was a question / request for money with the excuse of being without internet for a week plus. 

By early to mid-August we still had not heard any confirmation of our requests nor any responses to our questions. One week before, we attempted for two days to call Hog Safaris at the 2 main line phone numbers and 3 mobile numbers listed on their website. ?The numbers were either out of service, missing a digit, or wrong numbers and we could not get in touch with them via phone. 

Less than a week before arrival, we finally received a response as to what the hotels were, some were still missing, and an email that advised us to bring cold weather hiking gear, sleeping bags, hats, gloves, etc ? which we immediately ordered online and had shipped overnight as we were leaving in just a few days. ?Very inconsiderate, especially because we could have been traveling in Europe beforehand and would not have been able to so easily order camping gear on amazon.com.

At this time, I asked for two hotels on the itinerary to change that did not receive good marks on TripAdvisor and inquired about how we get from Entebbe airport to Kampala to begin the trip. Ben responded that the hotel in Kampala was taken care of and said he would change the hotels. 

When we arrived we were picked up in Entebbe, Uganda airport and driven about 45 minutes to Kampala to our hotel. The hotel was very basic accommodations, not something we would have chosen ourselves after traveling on 2 long haul flights for almost 22 hours. Breakfast was included, but was white toast and overripe bananas. 

We met Ben and our guide in the morning, at which point we were told that we had to pay for the hotel and the cab ride from the airport on the spot. This was not communicated to us when he said it was taken care of. I would have certainly booked a cleaner, more comfortable accommodation had I been given the information, as there was a Marriot up the street.

In addition, during this initial meeting, we had to settle a small balance on the cost of the trip ($242 payable in USD) which we knew about and had come prepared with USD as instructed. However, upon giving 3 $100 notes Ben informed us that he would only accept bills printed after 2006 and did not have change. Again, a piece of information that would have been helpful to know prior to arrival. 

Over the course of the trip, we ran into numerous instances where information was not communicated, which made for an unpleasant trip. ?A few of the many examples are: 

1.	Drinks for dinner were discussed as having to be paid prior to the trip. The assumption here was that this was alcohol, however water with dinners ($.50-$3USD) had to be paid each time in local currency, which ended up being a real hassle going to the respective ATMs which charge fees.
2.	All but one hotel was made aware ahead of time that we are vegetarians, and that was only because we made the guide call them in advance, causing them to have to scramble to get a meal prepared for us. Most expected us to eat pizza, which is fine for a day, but not 8 in a row. Furthermore, we expressly told them in advance we do not eat bread or cheese, so do not eat pizza at home, so why would we lower our standards and eat this on holiday? Therefore, most dinner ended up consisting of shredded cabbage, shredded carrots, sometimes cucumber and maybe an occasional avocado. This continued throughout the trip, ham and cheese sandwiches for packed lunches while hiking, and insufficient quantities and quality of food that we didn¢®?t eat. ?Dangerous when strenuously hiking 7+ hours with summits exceeding 3000m.
3.	Hotels that I had requested changed were changed to worse accommodations. Cleanliness was abysmal at the hotels and basic amenities were missing (heat, electricity, hot water). 
4.	Itinerary was poorly built with a lot of down time and no direction, options to do, and extremely long hours in an uncomfortable, dirty car, which we later found out our driver was sleeping in. We had to find internet cafes and find options to do in towns nearby to hotels. Often we were told it was not possible due to limits on gas or entry fees, or time.

Less than halfway through our trip after sleeping poorly, having limited activities, and not eating properly we asked to be brought to the airport to end the trip early. The guide and Ben became alarmed and eventually they heard our concerns and agreed to meet in the middle in terms of hotels and food. The next two nights were fine, passable, and just met our expectations in terms of basic comfort and access to food. We were able to get a salad and have a warm shower. ?Basics. When we arrived in DR Congo we were transferred to a new guide, Noel from ?Matumba safaris. The hotel they had booked, Caritas, was completely inadequate and we asked to switch -- the hotel name which we had never been given before arrival. We were told that we would have to pay to switch and pay for the food, even though the day before we discussed the option of 3 hotels and that Ben would accommodate us in any of them if we didn¢®?t care for the first one. ?When we crossed into the DR Congo, the guide had a different story. ?We were told for one of the lodges it was an additional $379 and $400 for him to take us there. ?We switched to the Ihusi Hotel in Goma which was a dump but we had no alternative. ?We were then forced to pay for our dinner (so no full board) and upon check out had to cough up another $74 in USD bills printed after 2006. ?We contested this with the DRC guide and called Tom and Ben and they did nothing. ?Our hike did not start until after 1030am so it was pointless to even stay in the DRC the night before as the border opens at 6am and there would have been plenty of time to stay in Hotel Malahide (the one hotel in Rwanda that was somewhat comfortable and had food we could eat). Mind you we were really at the end of our ropes after a week -- we had both skipped numerous lunches due to no food, and were only eating a small amount of a few vegetables -- ?the food portion was well underpriced. ?Food costs were never more than 50,000 Ugandan shilling for both of our meals ? less than $15 a meal. ?We asked to see menus and had an online converter to verify.

We then go for our overnight on Nyiragonga the next day the cook was again not informed of us being vegetarians and we were stranded without food on the volcano. We were offered ham and cheese sandwiches again and sausages for dinner. ?This was inexcusable.

We also would like to point out that we were the only 2 on the custom safari so any requests should have been honoured as we paid ¢®¡Æmore¢®¡¾ so we did not have to accommodate an entire group and various demands. ?Our driver also ate with us at our table during meals, which is entirely inappropriate even after we asked him to sit somewhere else. ?We did not spend over $6,000 to go on vacation with some stranger.

Overall, what should have been an adventurous, fun, active, comfortable, relaxing vacation in the outdoors it turned into an miserable, uncomfortable, hungry, dirty, zombie-like 9 days that we ¢®¡Æsurvived¢®¡¾. ?There was very poor communication, lack of direction and planning, and an overall uncaring of how guests felt during the entire trip. It was disappointing and a terrible experience. ?

We felt that it was a bait and switch and with ersatz accommodations, planning was one on the fly, and we were extremely overcharged for room and board. ?We have made the following chart below ¢®¡ÆCosts¢®¡¾ to outline what the actual expenses were. ?Industry standard for markup/commission ranges from 10-20%. Even on the high side of that range that makes the total cost about $4200, not $6200 plus the $150 we had to pay the first night for the airport transfer and hotel and the $100 we had to pay for the upcharge hotel in DRC and food.

It is for these reasons that we are demanding a refund of $2250. ?If we do not receive this in 7 days the we will pursue further legal action against Hog Safaris with the Uganda Tourism Board at www.visituganda.com as well as the Ministry of Tourism at tourism.go.ug as well as maintaining this post on TripAdvisor and Cond? Nast Traveler travel sites, as well as several Ugandan travel blogs (Muzungubloguganda.com, gadvertures.com, nina-travels.com, fathomaway.com to name a few). 


Itinerary (provided by Hog Safaris on June 24)

The itinerary will now briefly run as follows:
 Day 1(28/8/15)-Pick you from your Kampala hotel after breakfast and drive
to Fort Portal. Lunch stop enroute. Dinner and overnight at Dutchess
hotel.
 Day 2(29/8)-Hike Mt Rwenzori- parked lunch. Dinner and overnight Dutchess.
 ?"" ?3(30/8)-Drive to Queen Elizabeth park via craters in Kibale area.
Lunch stop at Kasese. Overnight Bush camp-F/B.
 Day 4(31/8)-Drive to Ishasha sector for game drive.
 ? ? ? ? ? ? PM-Drive to Bwindi gorilla park-Ruhija sector.O/n Tavern.
 ?"" ?5(1/9)-Gorilla tracking. Drive to Kisoro for O/night.
 ?"" ?6(2/9)-Hike Mt Sabinyo. O/n Kisoro.
 ?"" ?7(3/9)-Drive to Kyanika Uganda/Rwanda boarder. Proceed to Gisenyi
Rwanda/DRC boarder. O/n Goma hotel.
 Day 8(4/9)-Hike Nyiragomgo volcano. O/n camping in the mountain.
 ?"" ?9(5/9)-Descend and drive to Kigali. You will be dropped off at
Kanombe airport for your homebound flight.

The price will now be Usd2406 per person after deducting expenses to
overnight in the Rwenzoris(Usd 150).

Additional cost will be Usd 600 for the gorilla permit.
Visas will be Usd 60 -multiple for Rwanda.
Usd 100 for DRC.

The total transfer will be Usd 2406+600=Usd 3006 per person.

Costs

Total for 2 people	 	3555	 
 	 	 	 
Hotel 	Dutchess	75	 
 	Dutchess	75	 
 	Bush Camp 	110	 
 	Gift of Nature 	120	 
 	Virunga 	80	 
 	Virunga 	80	 
 	Caritas 	100	Food 
Permit 	Gorilla 	600	 
 	Gorilla 	600	 
 	Nyriagonga	250	 
 	Nyriagonga	250	 
Meals 	Dutchess 	50	 
 	Lunches 	50	 
Visas	DRC 	100	 
 	DRC 	100	 
Permit 	Queen Elizabeth 	100	Car 
 	Queen Elizabeth 	60	People 
 	Sabyinyo 	80	 
 	Sabyinyo 	80	 
 	Rwenzori 	35	 
 	Rwenzori 	35	 
Transport	Gas 	450	 
Etc 	Porters 	75	 
"
